song title,artist/band name,year,lyrics url
Shake,Small Faces,1966,https://www.azlyrics.com/lyrics/smallfaces/shake.html
Let's Dance On,"Monkees, The",1966,https://www.azlyrics.com/lyrics/monkees/letsdanceon.html
Anyway The Wind Blows,"Zappa, Frank",1966,https://www.azlyrics.com/lyrics/frankzappa/anywaythewindblows.html
Waterloo Sunset,"Kinks, The",1967,https://www.azlyrics.com/lyrics/kinks/waterloosunset.html
Help Stamp Out Loneliness,Nancy Sinatra,1967,https://www.azlyrics.com/lyrics/nancysinatra/helpstampoutloneliness.html
The Way You Look Tonight,Dionne Warwick,1967,https://www.azlyrics.com/lyrics/dionnewarwick/thewayyoulooktonight.html
Daily Nightly,"Monkees, The",1967,https://www.azlyrics.com/lyrics/monkees/dailynightly.html
One Fine Day,Cliff Richard,1967,https://www.azlyrics.com/lyrics/cliffrichard/onefineday.html
Angelica,Scott Walker,1967,https://www.azlyrics.com/lyrics/scottwalker/angelica.html
Mon Enfance,Jacques Brel,1967,https://www.azlyrics.com/lyrics/jacquesbrel/monenfance.html
Drink It Up Men,"Dubliners, The",1967,https://www.azlyrics.com/lyrics/dubliners/drinkitupmen.html
River,"Orbison, Roy",1967,https://www.azlyrics.com/lyrics/royorbison/river.html
Stand By Me,"Walker Brothers, The",1967,https://www.azlyrics.com/lyrics/walkerbrothers/standbyme.html
Stand By Me,Elvis Presley,1967,https://www.azlyrics.com/lyrics/elvispresley/standbyme.html
Born To Be Wild,Steppenwolf,1968,https://www.azlyrics.com/lyrics/steppenwolf/borntobewild.html
"Shake, Shake, Shake","Davis Jr., Sammy",1968,https://www.azlyrics.com/lyrics/sammydavisjr/shakeshakeshake.html
She's Made Of Porcelain,"Ian, Janis",1968,https://www.azlyrics.com/lyrics/janisian/shesmadeofporcelain.html
Something's Wrong,"Taylor, James",1968,https://www.azlyrics.com/lyrics/jamestaylor/somethingswrong.html
Witchcraft,"Presley, Elvis",1968,https://www.azlyrics.com/lyrics/elvispresley/witchcraft.html
Clarissa Jones,"Paxton, Tom",1968,https://www.azlyrics.com/lyrics/tompaxton/clarissajones.html
Sheila,Status Quo,1968,https://www.azlyrics.com/lyrics/statusquo/sheila.html
To Chicago With Love,Connie Smith,1968,https://www.azlyrics.com/lyrics/conniesmith/tochicagowithlove.html
Another Song To Sing,"Cash, Johnny",1968,https://www.azlyrics.com/lyrics/johnnycash/anothersongtosing.html
You Move Me So,B.B. King,1968,https://www.azlyrics.com/lyrics/bbking/youmovemeso.html
People Take Pictures Of Each Other,"Kinks, The",1968,https://www.azlyrics.com/lyrics/kinks/peopletakepicturesofeachother.html
Black Cat Bone,Johnny Winter,1968,https://www.azlyrics.com/lyrics/johnnywinter/blackcatbone.html
My Way Of Life,"Vinton, Bobby",1968,https://www.azlyrics.com/lyrics/bobbyvinton/mywayoflife.html
Sing Me Back Home,"Everly Brothers, The",1968,https://www.azlyrics.com/lyrics/everlybrothers/singmebackhome.html
Aquarela Sertaneja,Chitãozinho & Xororó,1969,https://www.azlyrics.com/lyrics/chitaozinhoxororo/aquarelasertaneja.html
Temptation's 'Bout To Get Me,"Rascals, The",1969,https://www.azlyrics.com/lyrics/rascals/temptationsbouttogetme.html
Time On My Hands,Janis Ian,1969,https://www.azlyrics.com/lyrics/janisian/timeonmyhands.html
Fido,"Byrds, The",1969,https://www.azlyrics.com/lyrics/byrds/fido.html
Prologue,Johnny Cash,1969,https://www.azlyrics.com/lyrics/johnnycash/prologue.html
Today Is The First Day Of The Rest Of My Life,"Denver, John",1969,https://www.azlyrics.com/lyrics/johndenver/todayisthefirstdayoftherestofmylife.html
If Silence Is Golden,Lynn Anderson,1969,https://www.azlyrics.com/lyrics/lynnanderson/ifsilenceisgolden.html
Bluebird,James Gang,1969,https://www.azlyrics.com/lyrics/jamesgang/bluebird.html
I'm So Lonesome I Could Cry,Jerry Lee Lewis,1969,https://www.azlyrics.com/lyrics/jerryleelewis/imsolonesomeicouldcry.html
The Fields Of St. Etienne(2010 Reissue Bonus Track),Mary Hopkin,1969,https://www.azlyrics.com/lyrics/maryhopkin/thefieldsofstetienne.html
"I Have A Song To Sing, O!","Peter, Paul And Mary",1969,https://www.azlyrics.com/lyrics/peterpaulandmary/ihaveasongtosingo.html
